"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"Savor – 7573","","01/06/2026","CVS Pharmacy","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$16.46","$0.00","Uncleared"
"Savor – 7573","","01/06/2026","CVS Pharmacy","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$7.78","$0.00","Uncleared"
"Bilt (Due 14th)","","01/06/2026","BPS Bilt Rent","Bills: 🏠 Rent","Bills","🏠 Rent","","$2,504.00","$0.00","Uncleared"
"Bilt (Due 14th)","","01/06/2026","Microsoft Xbox","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$9.99","$0.00","Uncleared"
"Savor – 7573","","01/05/2026","Amazon","Monthly Living / Lifestyle: Home Buys","Monthly Living / Lifestyle","Home Buys","","$76.19","$0.00","Uncleared"
"Savor – 7573","","01/05/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$17.56","$0.00","Uncleared"
"Savor – 7573","","01/05/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$14.81","$0.00","Uncleared"
"Savor – 7573","","01/05/2026","Aglaia Coffee & Tea","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$8.10","$0.00","Uncleared"
"Savor – 7573","","01/05/2026","CVS Pharmacy","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$5.66","$0.00","Uncleared"
"Total Checking – 5692","","01/04/2026","Starting Balance","Ready to Assign: Ready to Assign","Ready to Assign","Ready to Assign","","$0.00","$2,775.65","Uncleared"
"Total Checking – 5692","","01/04/2026","Spotify","Subscriptions: Spotify","Subscriptions","Spotify","","$13.08","$0.00","Uncleared"
"Total Checking – 5692","","01/04/2026","Afterpay","Monthly Living / Lifestyle: Home Buys","Monthly Living / Lifestyle","Home Buys","","$48.59","$0.00","Uncleared"
"Amex Gold (Due 20th)","","01/04/2026","Starting Balance",": Category Not Needed","","Category Not Needed","","$3,538.96","$0.00","Uncleared"
"Amex Gold (Due 20th)","","01/04/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$66.32","$0.00","Uncleared"
"Amex Gold (Due 20th)","","01/04/2026","BWS Beverage","Fun Spending: At-Home Alcohol","Fun Spending","At-Home Alcohol","","$17.35","$0.00","Uncleared"
"Credit Card – 8072","","01/04/2026","Starting Balance",": Category Not Needed","","Category Not Needed","","$3,582.87","$0.00","Uncleared"
"Savor – 7573","","01/04/2026","Starting Balance",": Category Not Needed","","Category Not Needed","","$3,130.50","$0.00","Uncleared"
"Bilt (Due 14th)","","01/04/2026","Starting Balance",": Category Not Needed","","Category Not Needed","","$5,134.55","$0.00","Uncleared"
"Bilt (Due 14th)","","01/04/2026","APPLE.COM/BILL","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$4.35","$0.00","Uncleared"
"Individual Cash Account - **********3707","","01/04/2026","Starting Balance","Ready to Assign: Ready to Assign","Ready to Assign","Ready to Assign","","$0.00","$0.19","Uncleared"
"Total Checking – 5692","","01/04/2026","BPS*BILT RENT","Bills: 🏠 Rent","Bills","🏠 Rent","","$2,504.00","$0.00","Uncleared"
