"Month","Category Group/Category","Category Group","Category","Assigned","Activity","Available"
"Apr 2026","Hidden Categories: Bilt (Due 14th)","Hidden Categories","Bilt (Due 14th)",$0.00,$0.00,$0.00
"Apr 2026","Hidden Categories: Chase Card (Due 16th)","Hidden Categories","Chase Card (Due 16th)",$0.00,$0.00,$0.00
"Apr 2026","Hidden Categories: Chase Freedom Unlimited","Hidden Categories","Chase Freedom Unlimited",$0.00,$0.00,$0.00
"May 2026","Credit Card Payments: Amex Gold (Due 20th)","Credit Card Payments","Amex Gold (Due 20th)",$1470.16,$54.78,$1883.75
"May 2026","Credit Card Payments: Credit Card – 8072","Credit Card Payments","Credit Card – 8072",$29.67,$0.00,$118.00
"May 2026","Credit Card Payments: Savor – 7573","Credit Card Payments","Savor – 7573",$0.00,$0.00,$220.93
"May 2026","Credit Card Payments: Wells Fargo Autograph Visa�� Card – 5212","Credit Card Payments","Wells Fargo Autograph Visa�� Card – 5212",$0.00,$0.00,$167.46
"May 2026","Bills: Electricity","Bills","Electricity",$0.00,$0.00,$0.00
"May 2026","Bills: Public Transit","Bills","Public Transit",$16.00,-$25.50,-$9.50
"May 2026","Bills: 🏠 Rent","Bills","🏠 Rent",$2504.00,-$2504.00,$0.00
"May 2026","Bills: 📄 Renter's insurance - Savings Bucket","Bills","📄 Renter's insurance - Savings Bucket",$0.00,$0.00,$0.00
"May 2026","Bills: 🎓 Student loans","Bills","🎓 Student loans",$0.00,-$253.22,$0.12
"May 2026","Subscriptions: Costco","Subscriptions","Costco",$5.42,$0.00,$10.84
"May 2026","Subscriptions: Prime","Subscriptions","Prime",$7.49,$0.00,$7.71
"May 2026","Subscriptions: Spotify","Subscriptions","Spotify",$14.17,-$14.17,$0.00
"May 2026","Subscriptions: Amex Gold","Subscriptions","Amex Gold",$28.80,$0.00,$28.80
"May 2026","Subscriptions: Google Subscription","Subscriptions","Google Subscription",$1.99,-$1.99,$0.00
"May 2026","Subscriptions: YNAB","Subscriptions","YNAB",$14.99,-$14.99,$0.00
"May 2026","Monthly Living / Lifestyle: Needs Bucket","Monthly Living / Lifestyle","Needs Bucket",$0.00,$0.00,$0.00
"May 2026","Monthly Living / Lifestyle: Home Buys","Monthly Living / Lifestyle","Home Buys",$0.00,$0.00,$0.00
"May 2026","Monthly Living / Lifestyle: Interest","Monthly Living / Lifestyle","Interest",$0.00,$0.00,$0.00
"May 2026","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses",$57.89,-$57.89,$0.00
"May 2026","Monthly Living / Lifestyle: Amazon / Random Online Buys","Monthly Living / Lifestyle","Amazon / Random Online Buys",$0.00,$0.00,$0.00
"May 2026","Monthly Living / Lifestyle: Self Care & General Health","Monthly Living / Lifestyle","Self Care & General Health",$40.37,-$40.37,$0.00
"May 2026","Monthly Living / Lifestyle: Haircut","Monthly Living / Lifestyle","Haircut",$0.00,$0.00,$0.00
"May 2026","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries",$159.68,-$211.38,-$51.70
"May 2026","Fun Spending: Fun Bucket Week 4","Fun Spending","Fun Bucket Week 4",$0.00,$0.00,$0.00
"May 2026","Fun Spending: Fun Bucket Week 3","Fun Spending","Fun Bucket Week 3",$0.00,$0.00,$0.00
"May 2026","Fun Spending: Fun Bucket Week 2","Fun Spending","Fun Bucket Week 2",$39.93,$0.00,$39.93
"May 2026","Fun Spending: Fun Bucket Week 1","Fun Spending","Fun Bucket Week 1",$0.00,$0.00,$0.00
"May 2026","Fun Spending: Charity","Fun Spending","Charity",$0.00,$0.00,$0.00
"May 2026","Fun Spending: Amex Credit","Fun Spending","Amex Credit",$0.00,$0.00,$0.00
"May 2026","Fun Spending: New PC Parts!","Fun Spending","New PC Parts!",$0.00,$0.00,$0.00
"May 2026","Fun Spending: Fun Transport","Fun Spending","Fun Transport",$17.00,-$17.00,$0.00
"May 2026","Fun Spending: Holidays","Fun Spending","Holidays",$0.00,$0.00,$0.00
"May 2026","Fun Spending: At-Home Alcohol","Fun Spending","At-Home Alcohol",$10.43,-$10.43,$0.00
"May 2026","Fun Spending: Fun Clothing","Fun Spending","Fun Clothing",$0.00,$0.00,$0.00
"May 2026","Fun Spending: General Entertainment","Fun Spending","General Entertainment",$16.53,-$16.53,$0.00
"May 2026","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout",$212.74,-$212.74,$0.00
"May 2026","Fun Spending: Bars","Fun Spending","Bars",$225.53,-$225.53,$0.00
"May 2026","Wealth Building: Roth IRA","Wealth Building","Roth IRA",$0.00,$0.00,$0.00
"May 2026","Wealth Building: Holdover ","Wealth Building","Holdover ",$0.00,$0.00,$0.00
"May 2026","Wealth Building: 😌 Emergency Fund","Wealth Building","😌 Emergency Fund",$0.00,$0.00,$21.27
"May 2026","Wealth Building: Travel","Wealth Building","Travel",$102.44,-$102.44,$0.00
"May 2026","Short-Term Savings: Move in July","Short-Term Savings","Move in July",$0.00,$0.00,$0.00
"May 2026","Short-Term Savings: General Liquidity","Short-Term Savings","General Liquidity",$0.00,$0.00,$0.00
"May 2026","Short-Term Savings: Tax Refund","Short-Term Savings","Tax Refund",$0.00,$0.00,$0.00
"May 2026","Short-Term Savings: Debt Repayment Savings","Short-Term Savings","Debt Repayment Savings",$0.00,$0.00,$0.00
"May 2026","Short-Term Savings: Christmas ","Short-Term Savings","Christmas ",$0.00,$0.00,$0.00
"May 2026","Short-Term Savings: Small Trips","Short-Term Savings","Small Trips",$0.00,$0.00,$0.00
"May 2026","Short-Term Savings: Vacation Fund / Big Trips","Short-Term Savings","Vacation Fund / Big Trips",$0.00,$0.00,$0.00
"May 2026","Irregular Expenses: Interest","Irregular Expenses","Interest",$0.00,$0.00,$0.00
"May 2026","Irregular Expenses: Phoenix Move Out Expenses (Rental + Flight + Extra)","Irregular Expenses","Phoenix Move Out Expenses (Rental + Flight + Extra)",$0.00,$0.00,$0.00
"May 2026","Irregular Expenses: Move In Fees","Irregular Expenses","Move In Fees",$0.00,$0.00,$0.00
"May 2026","Irregular Expenses: Macbook","Irregular Expenses","Macbook",$0.00,$0.00,$0.00
"May 2026","Irregular Expenses: Dad Reimbursement","Irregular Expenses","Dad Reimbursement",$180.00,$0.00,$180.00
"May 2026","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements",$300.00,$0.00,$300.00
"May 2026","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates",$143.35,-$143.35,$0.00
"May 2026","Irregular Expenses: Medical","Irregular Expenses","Medical",$0.00,$0.00,$0.00
"May 2026","Hidden Categories: Delta SkyMiles® Platinum Card - Delta SkyMiles® Platinum Card","Hidden Categories","Delta SkyMiles® Platinum Card - Delta SkyMiles® Platinum Card",$0.00,$0.00,$0.00
"May 2026","Hidden Categories: Bilt (Due 14th)","Hidden Categories","Bilt (Due 14th)",$0.00,$0.00,$0.00
"May 2026","Hidden Categories: Chase Card (Due 16th)","Hidden Categories","Chase Card (Due 16th)",$0.00,$0.00,$0.00
"May 2026","Hidden Categories: Chase Freedom Unlimited","Hidden Categories","Chase Freedom Unlimited",$0.00,$0.00,$0.00
